Name|Language|PlantKeys
Broad Beard Beardtongue|English|PL0024,PL0025,PL0026,PL0027,PL0028
Penstemon angustifolius caudatus|Latin|PL0025
Penstemon caudatus|Latin|PL0025
Narrowleaf Penstemon|English|PL0025
Narrow-leaf Penstemon|English|PL0025
Narrow Leaf Penstemon|English|PL0025
Narrowleaf Beardtongue|English|PL0025
Narrow-leaf Beardtongue|English|PL0025
Narrow Leaf Beardtongue|English|PL0025
Penstemon angustifolius dulcis|Latin|PL0026
Sweet Penstemon|English|PL0026
Sweet Beardtongue|English|PL0026
Penstemon angustifolius venosus|Latin|PL0027
Penstemon venosus|Latin|PL0027
Penstemon angustifolius vernalensis|Latin|PL0028
Vernal Narrowleaf Penstemon|English|PL0028
Vernal Narrow-leaf Penstemon|English|PL0028
Vernal Narrow Leaf Penstemon|English|PL0028
Vernal Narrowleaf Beardtongue|English|PL0028
Vernal Narrow-leaf Beardtongue|English|PL0028
Vernal Narrow Leaf Beardtongue|English|PL0028
Penstemon arenarius|Latin|PL0029
Penstemon maguirei|Latin|PL0029
Nevada Sand-dune Penstemon|English|PL0029
Nevada Sand-dune Beardtongue|English|PL0029
Sand-dune Penstemon|English|PL0029
Sand-dune Beardtongue|English|PL0029
Nevada Dune Penstemon|English|PL0029
Nevada Dune Beardtongue|English|PL0029
Penstemon arenicola|Latin|PL0030
Red Desert Penstemon|English|PL0030
Red Desert Beardtongue|English|PL0030
Sand Penstemon|English|PL0030,PL0328
Sand Beardtongue|English|PL0030,PL0328
Penstemon aridus|Latin|PL0031
Stiffleaf Beardtongue|English|PL0031
Stiff-leaf Beardtongue|English|PL0031
Stiff Leaf Beardtongue|English|PL0031
Stiffleaf Penstemon|English|PL0031
Stiff-leaf Penstemon|English|PL0031
Stiff Leaf Penstemon|English|PL0031
Penstemon arkansanus|Latin|PL0032
Penstemon multicaulis|Latin|PL0032
Penstemon pallidus arkansanus|Latin|PL0032
Penstemon wherryi|Latin|PL0032
Arkansas Penstemon|English|PL0032
Arkansas Beardtongue|English|PL0032
Penstemon attenuatus attenuatus|Latin|PL0033
Penstemon nelsoniae|Latin|PL0033
Sulphur Penstemon|English|PL0033,PL0035
Sulphur Beardtongue|English|PL0033,PL0035
Taperleaf Penstemon|English|PL0033
Taper-leaf Penstemon|English|PL0033
Taper Leaf Penstemon|English|PL0033
Taperleaf Beardtongue|English|PL0033
Taper-leaf Beardtongue|English|PL0033
Taper Leaf Beardtongue|English|PL0033
Penstemon attenuatus militaris|Latin|PL0034
Penstemon assurgens|Latin|PL0034
South Idaho Beardtongue|English|PL0034
South Idaho Penstemon|English|PL0034
Penstemon attenuatus palustris|Latin|PL0035
Penstemon palustris|Latin|PL0035
Penstemon attenuatus pseudoprocerus|Latin|PL0036
Small Beardtongue|English|PL0036,PL0253
Small Penstemon|English|PL0036,PL0253
Penstemon atwoodii|Latin|PL0037
Atwood’s Penstemon|English|PL0037
Atwood’s Beardtongue|English|PL0037
Kaiparowits Penstemon|English|PL0037
Kaiparowits Beardtongue|English|PL0037
Penstemon auriberbis|Latin|PL0038
Colorado Penstemon|English|PL0038,PL0251
Colorado Beardtongue|English|PL0038,PL0251
Penstemon australis|Latin|PL0039
Eustis Lake Penstemon|English|PL0039
Eustis Lake Beardtongue|English|PL0039
Slender Penstemon|English|PL0039
Slender Beardtongue|English|PL0039
Penstemon azureus angustissimus|Latin|PL0040
Azure Penstemon|English|PL0040,PL0041
Azure Beardtongue|English|PL0040,PL0041
Penstemon azureus azureus|Latin|PL0041
Penstemon baccharifolius|Latin|PL0042
Rock Penstemon|English|PL0042
Rock Beardtongue|English|PL0042
Cutleaf Penstemon|English|PL0042,PL0289,PL0290
Cut-leaf Penstemon|English|PL0042,PL0289,PL0290
Cut Leaf Penstemon|English|PL0042,PL0289,PL0290
Cut Leaf Beardtongue|English|PL0042,PL0289,PL0290
Cutleaf Beardtongue|English|PL0042,PL0289,PL0290
Cut-leaf Beardtongue|English|PL0042,PL0289,PL0290
Baccharis-leaf Penstemon|English|PL0042
Baccharis Leaf Penstemon|English|PL0042
Baccharis-leaf Beardtongue|English|PL0042
Baccharis Leaf Beardtongue|English|PL0042
Penstemon barbatus barbatus|Latin|PL0043
Penstemon barbatus puberulus|Latin|PL0043
Beardlip Penstemon|English|PL0043,PL0045
Beard-lip Penstemon|English|PL0043,PL0045
Beard Lip Penstemon|English|PL0043,PL0045
Penstemon barbatus torreyi|Latin|PL0044
Penstemon torreyi|Latin|PL0044
Torrey's Penstemon|English|PL0044
Torrey's Beardtongue|English|PL0044
Penstemon barbatus trichander|Latin|PL0045
Penstemon barnebyi|Latin|PL0046
Barneby’s Penstemon|English|PL0046
Barneby’s Beardtongue|English|PL0046
White River Valley Penstemon|English|PL0046
White River Valley Beardtongue|English|PL0046
Penstemon bicolor bicolor|Latin|PL0048
Pinto Penstemon|English|PL0048,PL0049
Pinto Beardtongue|English|PL0048,PL0049
Two-color Penstemon|English|PL0048,PL0049
Two-color Beardtongue|English|PL0048,PL0049
Penstemon bicolor roseus|Latin|PL0049
Penstemon bleakly|Latin|PL0050
Penstemon bracteatus|Latin|PL0051
Platy Pensteon|English|PL0051
Platy Beardtongue|English|PL0051
Red Canyon Penstemon|English|PL0051
Red Canyon Beardtongue|English|PL0051
Penstemon breviculus|Latin|PL0052
Penstemon jamesii breviculus|Latin|PL0052
Shortstem Beardtongue|English|PL0052
Short-stem Beardtongue|English|PL0052
Short Stem Beardtongue|English|PL0052
Short-stem Penstemon|English|PL0052
Shortstem Penstemon|English|PL0052
Short-stem Penstemon|English|PL0052
Narrowmouth Penstemon|English|PL0052
Narrow-mouth Penstemon|English|PL0052
Narrow Mouth Penstemon|English|PL0052
Narrowmouth Beardtongue|English|PL0052
Narrow-mouth Beardtongue|English|PL0052
Narrow Mouth Beardtongue|English|PL0052
Little Penstemon|English|PL0052
Little Beardtongue|English|PL0052
Penstemon brevisepalus|Latin|PL0053
Penstemon bryantiae|Latin|PL0054
