Name|Language|PlantKeys
Penstemon albifluvis|Latin|PL0301
White River Penstemon|English|PL0301
White River Beardtongue|English|PL0301
Penstemon scariosus cyanomontanus|Latin|PL0302
Neese's Blue Mountain Penstemon|English|PL0302
Neese's Blue Mountain Beardtongue|English|PL0302
Penstemon scariosus garrettii|Latin|PL0303
Penstemon garrettii|Latin|PL0303
Garrett's Penstemon|English|PL0303
Garrett's Beardtongue|English|PL0303
Penstemon scariosus scariosus|Latin|PL0304
Penstemon secundiflorus secundiflorus|Latin|PL0305
Penstemon unilateralis|Latin|PL0305
Sidebells Penstemon|English|PL0305
Sidebells Beardtongue|English|PL0305
Penstemon secundiflorus versicolor|Latin|PL0306
Penstemon versicolor|Latin|PL0306
Penstemon seorsus|Latin|PL0307
Penstemon linarioides seorsus|Latin|PL0307
Shortlobe Beardtongue|English|PL0307
Short-lobe Beardtongue|English|PL0307
Short Lobe Beardtongue|English|PL0307
Shortlobe Penstemon|English|PL0307
Short-lobe Penstemon|English|PL0307
Short Lobe Penstemon|English|PL0307
Penstemon sepalulus|Latin|PL0308
Penstemon azureus ambiguus|Latin|PL0308
Littlecup Penstemon|English|PL0308
Little-cup Penstemon|English|PL0308
Little Cup Penstemon|English|PL0308
Littlecup Beardtongue|English|PL0308
Little-cup Beardtongue|English|PL0308
Little Cup Beardtongue|English|PL0308
Penstemon serrulatus|Latin|PL0309
Serrulate Penstemon|English|PL0309
Serrulate Beardtongue|English|PL0309
Cascade Penstemon|English|PL0309
Cascade Beardtongue|English|PL0309
Coast Penstemon|English|PL0309
Coast Beardtongue|English|PL0309
Penstemon smallii|Latin|PL0310
Small's Penstemon|English|PL0310
Small’s Beardtongue|English|PL0310
Blue Ridge Penstemon|English|PL0310
Blue Ridge Beardtongue|English|PL0310
Penstemon spatulatus|Latin|PL0311
Wallowa Penstemon|English|PL0311
Wallowa Beardtongue|English|PL0311
Penstemon speciosus|Latin|PL0312
Penstemon speciosus kennedyi|Latin|PL0312
Royal Penstemon|English|PL0312
Royal Beardtongue|English|PL0312
Sagebrush Penstemon|English|PL0312
Sagebrush Beardtongue|English|PL0312
Penstemon spectabilis spectabilis|Latin|PL0313
Showy Beardtongue|English|PL0313,PL0314
Showy Penstemon|English|PL0313,PL0314
Penstemon spectabilis subviscosus|Latin|PL0314
Penstemon stenophyllus|Latin|PL0315
Sonoran Penstemon|English|PL0315
Sonoran Beardtongue|English|PL0315
Sonora Penstemon|English|PL0315
Sonora Beardtongue|English|PL0315
Penstemon stephensii|Latin|PL0316
Stephens's Beardtongue|English|PL0316
Stephens’s Penstemon|English|PL0316
Penstemon strictiformis|Latin|PL0317
Penstemon strictus strictiformis|Latin|PL0317
Mancos Penstemon|English|PL0317
Mancos Beardtongue|English|PL0317
Stiff Penstemon|English|PL0317
Stiff Beardtongue|English|PL0317
Penstemon strictus|Latin|PL0318
Penstemon strictus angustus|Latin|PL0318
Rocky Mountain Penstemon|English|PL0318
Rocky Mountain Beardtongue|English|PL0318
Penstemon subglaber|Latin|PL0319
Penstemon glaber utahensis|Latin|PL0319
Northern Smooth Penstemon|English|PL0319
Northern Smooth Beardtongue|English|PL0319
Penstemon subserratus|Latin|PL0320
Finetooth Beardtongue|English|PL0320
Fine-tooth Beardtongue|English|PL0320
Fine Tooth Beardtongue|English|PL0320
Finetoothed Beardtongue|English|PL0320
Fine-toothed Beardtongue|English|PL0320
Fine Toothed Beardtongue|English|PL0320
Finetooth Penstemon|English|PL0320
Fine-tooth Penstemon|English|PL0320
Fine Tooth Penstemon|English|PL0320
Finetoothed Penstemon|English|PL0320
Fine-toothed Penstemon|English|PL0320
Fine Toothed Penstemon|English|PL0320
Subserrate Beardtongue|English|PL0320
Penstemon subulatus|Latin|PL0321
Hackberry Penstemon|English|PL0321
Hackberry Beardtongue|English|PL0321
Penstemon sudans|Latin|PL0322
Penstemon deustus sudans|Latin|PL0322
Susanville Penstemon|English|PL0322
Susanville Beardtongue|English|PL0322
Volcanic Penstemon|English|PL0322
Volcanic Beardtongue|English|PL0322
Penstemon superbus|Latin|PL0323
Penstemon puniceus|Latin|PL0323
Superb Penstemon|English|PL0323
Superb Beardtongue|English|PL0323
Penstemon tenuiflorus|Latin|PL0324
Eastern Whiteflower Penstemon|English|PL0324
Eastern White-flower Penstemon|English|PL0324
Eastern White Flower Penstemon|English|PL0324
Eastern Whiteflower Beardtongue|English|PL0324
Eastern White-flower Beardtongue|English|PL0324
Eastern White Flower Beardtongue|English|PL0324
Penstemon tenuis|Latin|PL0325
Brazos Penstemon|English|PL0325
Brazos Beardtongue|English|PL0325
Gulf Penstemon|English|PL0325
Gulf Beardtongue|English|PL0325
Gulf Coast Penstemon|English|PL0325
Sharp-sepal Penstemon|English|PL0325
Sharp-sepal Beardtongue|English|PL0325
Penstemon teucrioides|Latin|PL0326
Germander Penstemon|English|PL0326
Germander Beardtongue|English|PL0326
Penstemon thompsoniae|Latin|PL0327
Penstemon pumilus thompsoniae|Latin|PL0327
Penstemon thompsoniae desperatus|Latin|PL0327
Penstemon thompsoniae jaegeri|Latin|PL0327
Thompson's Penstemon|English|PL0327
Thompson’s Beardtongue|English|PL0327
Jaeger's Penstemon|English|PL0327
Jaeger's Beardtongue|English|PL0327
Penstemon thurberi|Latin|PL0328
Penstemon thurberi anestius|Latin|PL0328
Thurber's Penstemon|English|PL0328
Thurber’s Penstemon|English|PL0328
Tidestrom's Penstemon|English|PL0205
Tidestrom’s Beardtongue|English|PL0205
Penstemon tiehmii|Latin|PL0329
Shoshone Penstemon|English|PL0329
Shoshone Beardtongue|English|PL0329
Tiehm’s Penstemon|English|PL0329
Tiehm’s Beardtongue|English|PL0329
Penstemon tracyi|Latin|PL0330
Tracy’s Penstemon|Latin|PL0330
Tracy’s Beardtongue|Latin|PL0330
Trinity Penstemon|English|PL0330
Trinity Beardtongue|English|PL0330
Penstemon triflorus integrifolius|Latin|PL0331
Heller's Penstemon|English|PL0331,PL0332
Heller’s Beardtongue|English|PL0331,PL0332
Penstemon triflorus triflorus|Latin|PL0332
Penstemon helleri|Latin|PL0332
Penstemon triphyllus|Latin|PL0333
Riggin's Penstemon|English|PL0333
Riggin's Beardtongue|English|PL0333
Whorled Penstemon|English|PL0333
Whorled Beardtongue|English|PL0333
Penstemon tubaeflorus achoreus|Latin|PL0334
Tube Penstemon|English|PL0334,PL0335
Tube Beardtongue|English|PL0334,PL0335
White Wand Beardtongue|English|PL0334,PL0335
White-wand Beardtongue|English|PL0334,PL0335
Whitewand Beardtongue|English|PL0334,PL0335
White Wand Penstemon|English|PL0334,PL0335
White-wand Penstemon|English|PL0334,PL0335
Whitewand Penstemon|English|PL0334,PL0335
Penstemon tubaeflorus tubaeflorus|Latin|PL0335

PL0336,Penstemon tusharensis,Penstemon caespitosus suffruticosus,"Tushar Range Beardtongue, Tushar Penstemon

Penstemon uintahensis|Latin|PL0336
Uinta Mountain Penstemon|English|PL0336
Uinta Mountain Beardtongue|English|PL0336
Uintah Mountain Penstemon|English|PL0336
Uintah Mountain Beardtongue|English|PL0336
Penstemon unilateralis|Latin|PL0337
Oneside Penstemon|English|PL0337
One-side Penstemon|English|PL0337
One Side Penstemon|English|PL0337
Oneside Beardtongue|English|PL0337
One-side Beardtongue|English|PL0337
One Side Beardtongue|English|PL0337
Penstemon utahensis|Latin|PL0338
Utah Penstemon|English|PL0338
Utah Beardtongue|English|PL0338
Utah Firecracker|English|PL0338
Carmine Penstemon|English|PL0338
Carmine Beardtongue|English|PL0338
Penstemon venustus|Latin|PL0339
Venus Penstemon|English|PL0339
Venus Beardtongue|English|PL0339
Penstemon versicolor|Latin|PL0340
Variable-color Penstemon|English|PL0340
Variable Color Penstemon|English|PL0340
Variable-color Beardtongue|English|PL0340
Variable Color Beardtongue|English|PL0340
Penstemon virens|Latin|PL0341
Front Range Penstemon|English|PL0341
Front Range Beardtongue|English|PL0341
Blue Mist Penstemon|English|PL0341
Blue Mist Beardtongue|English|PL0341
Green Penstemon|English|PL0341
Green Beardtongue|English|PL0341
Penstemon virgatus asa-grayi|Latin|PL0337
Penstemon virgatus virgatus|Latin|PL0342
Upright Blue Penstemon|English|PL0337,PL0342
Upright Blue Beardtongue|English|PL0337,PL0342
Penstemon wardii|Latin|PL0343
Ward’s Penstemon|English|PL0343
Ward’s Beardtongue|English|PL0343
Penstemon washingtonensis|Latin|PL0344
Washington Penstemon|English|PL0344
Washington Beardtongue|English|PL0344
Penstemon watsonii|Latin|PL0345
Watson's Penstemon|English|PL0345
Watson’s Beardtongue|English|PL0345
Penstemon whippleanus|Latin|PL0346
Whipple's Penstemon|English|PL0346
Whipple’s Beardtongue|English|PL0346
Penstemon wilcoxii|Latin|PL0347
Penstemon ovatus pinetorum|Latin|PL0347
Wilcox's Penstemon|English|PL0347
Wilcox’s Beardtongue|English|PL0347
Penstemon wrightii|Latin|PL0348
Wright's Penstemon|English|PL0348
Wright’s Beardtongue|English|PL0348
Penstemon yampaensis|Latin|PL0349
Penstemon acaulis yampaënsis|Latin|PL0349
Juniper Penstemon|English|PL0349
Juniper Beardtongue|English|PL0349
Yampa Penstemon|English|PL0349
Yampa Beardtongue|English|PL0349
