Name|Language|PlantIDs
Barneby’s Beardtongue|English|PL0046
White River Valley Penstemon|English|PL0046
White River Valley Beardtongue|English|PL0046
Barrett's Penstemon|English|PL0047
Barrett's Beardtongue|English|PL0047
Pinto Penstemon|English|PL0048,PL0049
Pinto Beardtongue|English|PL0048,PL0049
Two-color Penstemon|English|PL0048,PL0049
Two-color Beardtongue|English|PL0048,PL0049
Platy Pensteon|English|PL0051
Platy Beardtongue|English|PL0051
Red Canyon Penstemon|English|PL0051
Red Canyon Beardtongue|English|PL0051
Penstemon jamesii breviculus|Latin|PL0052
Short-stem Beardtongue|English|PL0052
Short-stem Penstemon|English|PL0052
Narrow-mouth Penstemon|English|PL0052
Narrow-mouth Beardtongue|English|PL0052
Little Penstemon|English|PL0052
Little Beardtongue|English|PL0052
Bryant's Penstemon|English|PL0054
Bryant's Beardtongue|English|PL0054
Penstemon amplexicaulis|Latin|PL0055
Buckley's Penstemon|English|PL0055
Buckley's Beardtongue|English|PL0055
San Bernardino Penstemon|English|PL0056
San Bernardino Beardtongue|English|PL0056
Mat Penstemon|English|PL0057,PL0058,PL0059
Mat Beardtongue|Latin|PL0057,PL0058,PL0059
Penstemon desertipicti|Latin|PL0058
Penstemon xylus|Latin| PL0060
Penstemon tusharensis|Latin|PL0060
Tushar Beardtongue|English|PL0060
Tushar Range Beardtongue|English|PL0060
Tushar Penstemon|English|PL0060
Tushar Range Penstemon|English|PL0060
Limestone Penstemon|English|PL0061
Limestone Beardtongue|English|PL0061
California Beardtongue|English|PL0062
California Penstemon|English|PL0062
San Jacinto Penstemon|English|PL0062,PL0074
San Jacinto Beardtongue|English|PL0062,PL0074
Penstemon laevigatus calycosus|Latin|PL0063
Long-sepal Penstemon|English|PL0063
Long-sepal Beardtongue|English|PL0063
Penstemon brittoniorum|Latin|PL0064
Penstemon canescens brittoniorum|Latin|PL0064
Penstemon canescens typicus|Latin|PL0064
Eastern Gray Penstemon|English|PL0064
Eastern Gray Beardtongue|English|PL0064
Cardinal Penstemon|English|PL0065,PL0066
Cardinal Beardtongue|English|PL0065,PL0066
Penstemon regalis|Latin|PL0066
Cardwell's Penstemon|English|PL0067
Cardwell's Beardtongue|English|PL0067
Fleshy Beardtongue|English|PL0068
Fleshy Penstemon|English|PL0068
Cary's Penstemon|English|PL0069
Cary's Beardtongue|English|PL0069
Chelone centranthifolia|Latin|PL0070
Scarlet Bugler|English|PL0070
Ash Beardtongue|English|PL0071
Ash Penstemon|English|PL0071
Penstemon eriantherus cleburnei|Latin| PL0072
Cleburne’s Penstemon|English|PL0072
Cleburne’s Beardtongue|English|PL0072
Cleveland's Beardtongue|English|PL0073,PL0075
Cleveland's Penstemon|English|PL0073,PL0075
Mojave Penstemon|English|PL0075,PL0179,PL0277
Mojave Beardtongue|English|PL0075,PL0179,PL0277
Mohave Penstemon|English|PL0075,PL0179,PL0277
Mohave Beardtongue|English|PL0075,PL0179,PL0277
Sunset Crater Beardtongue|English|PL0076
Sunset Crater Penstemon|English|PL0076
Penstemon cobaea typicus|Latin|PL0077
Prairie Penstemon|English|PL0077
Foxglove Penstemon|English|PL0077,PL0078,PL0108
Foxglove Beardtongue|English|PL0077,PL0078,PL0108
False Foxglove|English|PL0077
Large-flowered Penstemon|English|PL0077,PL0158
Large-flowered Beardtongue|English|PL0077,PL0158
Cobaea Penstemon|English|PL0077
Wild Foxglove|English|PL0077
Dusty Penstemon|English|PL0079
Dusty Beardtongue|English|PL0079
Hairy Penstemon|English|PL0079,PL0173
Hairy Beardtongue|English|PL0079,PL0173
Penstemon cyananthus compactus|Latin|PL0080
Bear River Range Penstemon|English|PL0080
Bear River Range Beardtongue|English|PL0080
Cache Penstemon|English|PL0080
Cache Beardtongue|English|PL0080
Compact Penstemon|English|PL0080
Compact Beardtongue|English|PL0080
Tunnel Springs Penstemon|English|PL0081
Tunnel Springs Beardtongue|English|PL0081
Yellow Penstemon|English|PL0082
Yellow Beardtongue|English|PL0082 
Scorched Penstemon|English|PL0082
Scorched Beardtongue|English|PL0082
Owens Valley Penstemon|English|PL0083
Owens Valley Beardtongue|English|PL0083
Crandall's Penstemon|English|PL0084,PL0085,PL0086,PL0087,PL0088
Crandall's Beardtongue|English|PL0084,PL0085,PL0086,PL0087,PL0088
Penstemon suffrutescens|Latin|PL0085
Penstemon glabrescens|Latin|PL0086
Penstemon coloradoensis glabrescens|Latin|PL0086
Penstemon procumbens|Latin|PL0087
Penstemon ramaleyi|Latin|PL0088
Penstemon linarioides taosensis|Latin|PL0089
Taos Penstemon|English|PL0089
Taos Beardtongue|English|PL0089
Cusick's Beardtongue|English|PL0090
Cusick’s Penstemon|English|PL0090
Basalt Penstemon|English|PL0090
Basalt Beardtongue|English|PL0090
Wasatch Beardtongue|English|PL0091,PL0092
Wasatch Penstemon|English|PL0091,PL0092
Penstemon fremontii subglaber|Latin|PL0092
Penstemon holmgrenii|Latin|PL0092
Blue Penstemon|English|PL0093,PL0144
Blue Beardtongue|English|PL0093,PL0144
Dark Blue Penstemon|English|PL0093
Dark Blue Beardtongue|English|PL0093
Blue-stem Beardtongue|English|PL0094
Blue-stem Penstemon|English|PL0094
Middle Park Penstemon|English|PL0095
Middle Park Beardtongue|English|PL0095
North Park Penstemon|English|PL0095
North Park Beardtongue|English|PL0095
Sagebrush Beardtongue|English|PL0095
Sagebrush Penstemon|English|PL0095
Cochise Penstemon|English|PL0096
Cochise Beardtongue|English|PL0096
Penstemon menziesii thompsonii|Latin|PL0097
Creeping Penstemon|English|PL0097,PL0098
Creeping Beardtongue|English|PL0097,PL0098
